,n,const,sum,prod,polin,polin_horn,bub_sort,quick_sort,timsort
47,48,2.600001607788727e-07,1.277999981539324e-05,1.1499999891384504e-05,0.00013174000014259946,9.719999798107893e-06,6.611999997403472e-05,0.00016202000006160233,0.00013453999999910594
48,49,2.600001607788727e-07,1.2859999696956947e-05,1.1340000128257088e-05,0.00013371999993978535,1.0119999933522194e-05,7.475999991584104e-05,0.00018386000010650605,0.0001419199998053955
49,50,2.9999973776284606e-07,1.3760000001639128e-05,1.154000019596424e-05,0.00013771999983873683,1.042000003508292e-05,7.392000006802845e-05,0.00017503999988548457,0.00015198000000964383
50,51,2.5999979698099195e-07,1.4000000010128134e-05,1.1699999959091656e-05,0.00013915999988967087,1.0680000195861794e-05,8.189999971364159e-05,0.00018101999994541985,0.0001575599999341648
51,52,2.9999973776284606e-07,1.6799999866634607e-05,1.2019999849144369e-05,0.00014315999978862238,1.0959999781334772e-05,8.29599997814512e-05,0.0001745199999277247,0.0001502399998571491
52,53,3.1999989005271343e-07,1.2799999967683107e-05,1.1599999925238081e-05,0.00014431999989028554,1.1100000119768082e-05,8.166000006895046e-05,0.00017856000013125595,0.000153899999713758
53,54,2.4000000848900526e-07,1.2819999756175094e-05,1.1119999908260069e-05,0.00015208000004349743,1.1140000060549937e-05,9.033999995153864e-05,0.00018630000013217796,0.00015749999984109307
54,55,2.4000000848900526e-07,1.3219999891589395e-05,1.1199999789823778e-05,0.00014991999996709636,1.1119999908260069e-05,9.057999996002764e-05,0.00019291999997221864,0.0001600799998414004
55,56,2.8000031306874005e-07,1.4580000060959719e-05,1.1440000162110663e-05,0.00015311999995901716,1.1620000077527947e-05,9.099999988393392e-05,0.00019928000001527834,0.00016380000015487896
56,57,2.4000000848900526e-07,1.249999986612238e-05,1.1160000212839805e-05,0.00015498000029765536,1.1599999925238081e-05,9.41999998758547e-05,0.00020574000009219163,0.00016925999989325646
57,58,2.4000000848900526e-07,1.250000022992026e-05,1.1040000026696362e-05,0.0001905000000988366,1.2099999730708078e-05,9.907999992719851e-05,0.00021844000002602115,0.00017298000020673498
58,59,3.4000004234258085e-07,1.8139999883715064e-05,1.1779999840655365e-05,0.00016116000006149989,1.1920000179088675e-05,9.945999991032295e-05,0.00022890000000188592,0.0001770599999872502
