,n,const,sum,prod,polin,polin_horn,bub_sort,quick_sort,timsort
77,78,7.200003892648966e-07,2.8059999749530107e-05,1.953999963006936e-05,0.00022701999951095785,1.6420000611105935e-05,0.0008407399996940512,0.00012596000015037135,0.00022632000000157859
78,79,7.200000254670158e-07,2.5940000341506675e-05,2.4599999960628338e-05,0.00024995999956445303,1.6600000162725336e-05,0.0008272999995824649,0.00012556000001495704,0.00022083999938331543
79,80,6.60000296193175e-07,2.0140000196988693e-05,1.8879999697674065e-05,0.0002535799994802801,1.6840000171214342e-05,0.0009030000004713656,0.0001600799998414004,0.00023858000022300985
80,81,9.000003046821803e-07,2.2340000577969475e-05,2.325999957975e-05,0.00029665999973076395,1.8199999612988903e-05,0.0009200799999234732,0.00014798000011069236,0.00023266000061994419
81,82,7.599999662488699e-07,2.7680000130203553e-05,2.1240000569378027e-05,0.00026517999976931604,1.731999982439447e-05,0.0009145600004558218,0.00013370000015129336,0.00023193999950308353
82,83,8.999995770864189e-07,2.1399999968707562e-05,1.9039999824599362e-05,0.0002771600004052743,1.7579999621375464e-05,0.0010067600003822008,0.00013487999967765063,0.00023773999928380362
83,84,7.399998139590025e-07,2.1600000036414712e-05,2.376000047661364e-05,0.00025980000064009803,1.7579999621375464e-05,0.000959119999606628,0.0001585200003319187,0.00023600000022270252
84,85,7.799997547408566e-07,2.1200000264798292e-05,1.9360000078449956e-05,0.000283780000245315,1.7879999722936192e-05,0.001008480000018608,0.00014836000045761465,0.0002410600001894636
85,86,6.800004484830424e-07,4.034000012325123e-05,2.222000002802815e-05,0.0003187399994203588,1.8819999604602343e-05,0.0010398599995824042,0.00014025999953446445,0.00024855999981809873
86,87,7.400001777568832e-07,2.4319999647559597e-05,1.8840000484487975e-05,0.00027715999967767855,2.0259999655536375e-05,0.00108250000012049,0.00016535999966436066,0.00026524000022618564
87,88,7.799993909429759e-07,2.175999979954213e-05,1.961999987543095e-05,0.00030755999941902703,2.1540000307140873e-05,0.001414880000447738,0.00014487999978882727,0.0002591399996163091
88,89,6.60000296193175e-07,2.181999952881597e-05,1.9099999553873205e-05,0.0003243200000724755,1.8700000146054664e-05,0.0010816999994858634,0.00013632000009238253,0.0002654200001416029
89,90,7.600003300467506e-07,2.1099999503348955e-05,1.9039999824599362e-05,0.00027958000027865636,2.015999998548068e-05,0.0012376800004858524,0.00015012000003480352,0.0003455799997027498
90,91,7.399998139590025e-07,2.162000018870458e-05,1.9080000492976977e-05,0.00029252000022097493,2.956000025733374e-05,0.001110300000073039,0.00014635999978054314,0.00026628000014170536
91,92,6.399997801054269e-07,2.300000014656689e-05,2.853999976650812e-05,0.0002741400006925687,1.8840000120690092e-05,0.0011806400001660223,0.000146139999924344,0.00026989999969373457
92,93,6.999998731771484e-07,2.237999942735769e-05,2.812000020639971e-05,0.0003408599994145334,2.045999972324353e-05,0.0011886399996001273,0.00016880000002856833,0.00028027999942423774
93,94,6.999998731771484e-07,2.2700000408804043e-05,2.0479999875533395e-05,0.00034574000019347293,2.1080000078654847e-05,0.0012683599998126738,0.0001541400000860449,0.00028738000073644796
94,95,6.399994163075462e-07,2.1239999841782265e-05,1.996000028157141e-05,0.0003099999998084968,1.998000043386128e-05,0.0012850600007368485,0.00019529999990481884,0.00028448000011849217
95,96,9.200004569720476e-07,2.5520000417600385e-05,2.3299999884329737e-05,0.0002834799997799564,2.0020000738441014e-05,0.0012310600002820137,0.00016152000025613234,0.00029175999989092813
96,97,7.799993909429759e-07,2.122000005329028e-05,1.9379999866941943e-05,0.00030957999988459053,2.029999996011611e-05,0.0013050000001385343,0.00015949999942677096,0.00029234000030555765
97,98,8.600000001024455e-07,2.162000018870458e-05,1.9299999621580355e-05,0.00031523999969067517,2.08999994356418e-05,0.0012832399996113963,0.00016713999975763726,0.00029499999945983293
98,99,8.800001523923129e-07,2.5499999901512636e-05,2.195999986724928e-05,0.0003459200001088902,2.1460000061779284e-05,0.0013956000002508517,0.0001825200000894256,0.00032210000026680066
99,100,6.599999323952943e-07,2.198000038333703e-05,2.0580000273184852e-05,0.0003535399995598709,2.314000012120232e-05,0.001390979999632691,0.00016800000048533548,0.0003040600000531413
100,101,7.199996616691351e-07,2.07199998840224e-05,1.9400000383029692e-05,0.000325919999886537,2.0760000188602136e-05,0.0014483400002063718,0.00018200000049546362,0.00030382000040845013
101,102,6.600006599910557e-07,2.1099999867146834e-05,1.9939999765483664e-05,0.00032952000037766993,2.1120000019436703e-05,0.0014368400003149872,0.0001620400002138922,0.0003125600007479079
102,103,6.60000296193175e-07,2.0960000256309286e-05,1.9640000027720815e-05,0.0003316199996334035,2.0760000188602136e-05,0.0014610599999286932,0.00016774000032455661,0.0003258799999457551
103,104,6.60000296193175e-07,2.1740000738645905e-05,1.9500000416883267e-05,0.0003338999995321501,2.1300000298651867e-05,0.0014615200005209771,0.0001925599997775862,0.00032211999932769687
104,105,8.400002116104588e-07,2.1939999714959413e-05,1.9640000391518698e-05,0.0003082600003835978,2.1660000129486434e-05,0.001449240000147256,0.00018880000025092158,0.00040054000055533834
105,106,7.800001185387373e-07,2.16199998249067e-05,2.0040000163135118e-05,0.0003605599998991238,2.1660000129486434e-05,0.001571860000694869,0.00019301999964227434,0.00035854000016115605
106,107,6.60000296193175e-07,2.2140000146464446e-05,1.9859999883919955e-05,0.00034631999988050667,2.1639999613398685e-05,0.0015625800002453615,0.00019316000034450554,0.00035073999970336445
107,108,6.599999323952943e-07,2.1360000027925706e-05,2.0140000196988693e-05,0.00033815999995567836,2.147999985027127e-05,0.001578479999443516,0.0002549600001657382,0.00034845999980461786
108,109,7.000002369750291e-07,2.2059999901102854e-05,2.052000054391101e-05,0.00036443999997572976,2.1860000197193584e-05,0.0016930599998886465,0.0001994600002944935,0.00034606000008352567
109,110,6.400001439033076e-07,2.2760000138077886e-05,1.9859999883919955e-05,0.00035886000041500664,2.238000051875133e-05,0.0016520799999852898,0.00018047999947157223,0.0003396000000066124
110,111,7.000002369750291e-07,2.175999979954213e-05,2.0439999934751542e-05,0.00036403999947651753,2.3040000451146624e-05,0.001731659999859403,0.00018507999957364518,0.00036246000017854386
111,112,8.199996955227106e-07,2.3499999952036887e-05,2.0080000103916974e-05,0.00036131999986537265,2.2900000112713313e-05,0.001710859999730019,0.0001838399995904183,0.00035176000055798796
112,113,5.999998393235729e-07,2.1819999892613852e-05,1.990000018849969e-05,0.0003634999997302657,2.3019999935058878e-05,0.001738100000511622,0.00018640000016603153,0.0003646999997727107
113,114,6.60000296193175e-07,2.2219999664230272e-05,2.009999989240896e-05,0.0003695399995194748,2.314000012120232e-05,0.001739380000071833,0.00019243999995524063,0.0003760200004762737
114,115,7.000002369750291e-07,2.224000018031802e-05,1.9719999909284524e-05,0.0003734399997483706,2.4259999554487878e-05,0.0018069800000375836,0.00017700000025797636,0.0003728999996383209
115,116,6.800000846851617e-07,2.2979999630479143e-05,2.0500000391621143e-05,0.00038186000019777564,2.5639999876148067e-05,0.0018336799996177433,0.000190199999633478,0.00035367999953450635
