,Unnamed: 0,n,const,sum,prod,polin,polin_horn,bub_sort,quick_sort,timsort
45,45,46,6.400001439033075e-07,9.199997293762863e-07,2.939999831141904e-06,0.00013857999947504144,9.820000195759347e-06,0.00031697999984317,7.107999990694225e-05,0.00011875999989570117
46,46,47,6.999998731771484e-07,9.599993063602596e-07,2.9999995604157447e-06,0.00015242000008583998,1.1380000796634705e-05,0.0003086999997321982,7.111999948392623e-05,0.00011242000000493137
47,47,48,5.800000508315862e-07,9.79999458650127e-07,3.0399998649954798e-06,0.00015108000006875958,1.1020000238204377e-05,0.00031164000029093586,6.833999977970962e-05,0.00017679999982647132
48,48,49,7.599999662488698e-07,9.800001862458886e-07,3.159999323543161e-06,0.00015663999984099066,1.0820000170497224e-05,0.00032960000025923365,7.419999965350144e-05,0.00012305999953241556
49,49,50,6.799997208872811e-07,9.399991540703923e-07,3.18000020342879e-06,0.00015800000001036095,1.1040000026696362e-05,0.0003407799998967676,7.334000001719687e-05,0.00012796000046364498
50,50,51,5.800000508315862e-07,9.399991540703923e-07,3.219999052817002e-06,0.0002036199995927745,1.1900000026798807e-05,0.00037494000025617424,8.709999965503812e-05,0.00013378000039665494
51,51,52,7.200003892648966e-07,9.999996109399944e-07,3.1999996281228958e-06,0.0001628599999094149,1.1319999975967219e-05,0.0003706600004079519,7.721999973000492e-05,0.00013281999999890104
52,52,53,5.600002623395995e-07,1.019999763229862e-06,3.440000000409782e-06,0.00017317999991064425,1.1580000136746096e-05,0.0004358200003480306,8.095999983197544e-05,0.00014199999968695918
53,53,54,6.400005077011883e-07,1.0399999155197293e-06,3.3199990866705776e-06,0.00017094000031647738,1.1560000348254108e-05,0.00039384000046993606,8.276000007754192e-05,0.00014406000009330454
54,54,55,6.60000296193175e-07,9.79999458650127e-07,3.3799995435401796e-06,0.00017501999973319472,1.1860000086016953e-05,0.0004189399998722365,8.219999981520231e-05,0.00015424000048369635
